config,train_loss,val_loss,test_loss,input_size_e,hidden_size_lstm,layers_lstm,lr,input_size_d,output_dim
1,231518360.21271202,2054304.9924404656,1947427.013137901,14,64,1,0.001,12,9
2,223301976.26147693,2072137.3056940213,1953163.8345920588,14,64,2,0.001,12,9
3,217403623.5124637,2043803.1957014818,1949361.5793853255,14,128,1,0.001,12,9
4,210470140.9060905,2078637.2237591227,2005015.1247310697,14,128,2,0.001,12,9
