config,train_loss,val_loss,test_loss,input_size_e,hidden_size_lstm,layers_lstm,lr,input_size_d,output_dim
1,175996.5791931591,2363.8657401445134,2205.394792158828,14,128,2,0.0001,12,9
2,185284.4775571676,2350.684939474836,2246.5020620508867,14,128,2,0.001,12,9
3,178215.5852886347,2346.311050544903,2212.8777549324927,14,128,1,0.0001,12,9
4,176613.18259743584,2361.7144190120325,2201.778069780879,14,128,1,0.001,12,9
5,178334.80126446608,2340.746114675552,2233.1600537724794,14,64,2,0.0001,12,9
6,180032.17539027156,2348.4799053169045,2216.9272185936943,14,64,2,0.001,12,9
7,176532.9551127293,2337.8114197517557,2191.8365431635825,14,64,1,0.0001,12,9
8,174526.03054023825,2313.01580095537,2207.1363285881657,14,64,1,0.001,12,9
