,LA:1,LA:2,LA:3,LA:4,LA:5,LA:6,LA:7,LA:8,LA:9,LA:10,LA:11,LA:12
63,658.02,416.21,416.21,408.0,408.0,220.91,408.0,222.82,222.88,219.5,219.5,405.68
64,416.21,416.21,408.0,408.0,220.91,408.0,222.82,222.88,219.5,219.5,405.68,658.02
65,416.21,408.0,408.0,220.91,408.0,222.82,222.88,219.5,219.5,405.68,658.02,388.65
66,408.0,408.0,220.91,408.0,222.82,222.88,219.5,219.5,405.68,658.02,388.65,403.36
67,408.0,220.91,408.0,222.82,222.88,219.5,219.5,405.68,658.02,388.65,403.36,391.92
68,220.91,408.0,222.82,222.88,219.5,219.5,405.68,658.02,388.65,403.36,391.92,409.55
69,408.0,222.82,222.88,219.5,219.5,405.68,658.02,388.65,403.36,391.92,409.55,443.0
70,222.82,222.88,219.5,219.5,405.68,658.02,388.65,403.36,391.92,409.55,443.0,458.24
71,222.88,219.5,219.5,405.68,658.02,388.65,403.36,391.92,409.55,443.0,458.24,187.22
72,219.5,219.5,405.68,658.02,388.65,403.36,391.92,409.55,443.0,458.24,187.22,382.47
73,219.5,405.68,658.02,388.65,403.36,391.92,409.55,443.0,458.24,187.22,382.47,397.22
74,405.68,658.02,388.65,403.36,391.92,409.55,443.0,458.24,187.22,382.47,397.22,371.26
75,658.02,388.65,403.36,391.92,409.55,443.0,458.24,187.22,382.47,397.22,371.26,325.56
76,388.65,403.36,391.92,409.55,443.0,458.24,187.22,382.47,397.22,371.26,325.56,344.26
77,403.36,391.92,409.55,443.0,458.24,187.22,382.47,397.22,371.26,325.56,344.26,338.11
78,391.92,409.55,443.0,458.24,187.22,382.47,397.22,371.26,325.56,344.26,338.11,359.57
79,409.55,443.0,458.24,187.22,382.47,397.22,371.26,325.56,344.26,338.11,359.57,330.9
80,443.0,458.24,187.22,382.47,397.22,371.26,325.56,344.26,338.11,359.57,330.9,332.22
81,458.24,187.22,382.47,397.22,371.26,325.56,344.26,338.11,359.57,330.9,332.22,336.04
82,187.22,382.47,397.22,371.26,325.56,344.26,338.11,359.57,330.9,332.22,336.04,625.0
83,382.47,397.22,371.26,325.56,344.26,338.11,359.57,330.9,332.22,336.04,625.0,203.97
84,397.22,371.26,325.56,344.26,338.11,359.57,330.9,332.22,336.04,625.0,203.97,220.55
85,371.26,325.56,344.26,338.11,359.57,330.9,332.22,336.04,625.0,203.97,220.55,381.66
86,325.56,344.26,338.11,359.57,330.9,332.22,336.04,625.0,203.97,220.55,381.66,645.0
87,344.26,338.11,359.57,330.9,332.22,336.04,625.0,203.97,220.55,381.66,645.0,102.67
88,338.11,359.57,330.9,332.22,336.04,625.0,203.97,220.55,381.66,645.0,102.67,426.14
89,359.57,330.9,332.22,336.04,625.0,203.97,220.55,381.66,645.0,102.67,426.14,645.0
90,330.9,332.22,336.04,625.0,203.97,220.55,381.66,645.0,102.67,426.14,645.0,645.0
91,332.22,336.04,625.0,203.97,220.55,381.66,645.0,102.67,426.14,645.0,645.0,625.0
92,336.04,625.0,203.97,220.55,381.66,645.0,102.67,426.14,645.0,645.0,625.0,625.0
